id_profesor,nombre_profesor,apellido_profesor,fecha_nacimiento,numero_documento,id_tipo_documento,id_departamento,id_linea_trabajo
83,Barny,Joule,1977-04-01,82-163-5833,2,6,2
84,Adam,Brobyn,1978-10-05,36-501-0435,2,8,3
85,Emylee,Marquis,1961-03-10,86-905-9099,3,2,3
86,Dugald,Klimshuk,1970-09-25,29-779-8879,3,8,6
87,Dell,Barby,1951-05-03,34-768-5567,3,6,2
88,Starlin,Theriot,1978-01-02,08-946-4838,1,7,4
89,Eilis,McPhater,1965-07-24,16-880-4503,3,4,5
90,Corrianne,Toseland,1962-09-04,12-890-1345,1,6,3
91,Byron,Maydwell,1978-08-07,49-736-4379,1,1,6
92,Victoria,Guymer,1951-05-27,69-554-0828,1,5,1
93,Carly,Cooke,1951-08-29,08-245-8335,3,3,5
94,Ardene,Aingell,1981-11-06,55-919-0555,1,1,3
95,Ogden,Taaffe,1953-07-02,61-601-9165,1,7,1
96,Darsie,Robrose,1985-04-12,06-169-9058,3,8,6
97,Brande,Paolotto,1967-05-02,03-775-5414,2,2,4
98,Halette,Andreuzzi,1963-05-20,22-719-0288,1,2,5
99,Charline,Chatwin,1960-02-28,92-691-2594,1,8,1
100,Merna,Channing,1979-08-03,07-098-1050,3,8,2
101,Emilia,Threadkell,1978-07-21,64-411-3760,2,6,5
102,Adelheid,Lawlor,1965-08-20,06-846-1025,1,1,3
103,Sukey,Dearsley,1956-04-24,31-679-6013,2,5,4
104,Mathias,Creyke,1982-10-01,61-481-6656,3,5,4
105,Kyla,McDermid,1966-03-17,29-874-4805,1,8,6
106,Kipp,Tarney,1968-04-22,51-097-2679,1,2,2
107,Simeon,Dobbie,1985-01-07,90-979-6969,1,7,1
108,Kiley,Tilston,1983-11-02,12-988-4683,2,5,1
109,Perla,Scutcheon,1974-09-27,25-340-9020,2,6,5
110,Lissa,Haddy,1981-08-21,71-281-6022,3,3,6
111,Olivia,Goodswen,1980-09-14,86-566-8245,3,2,1
112,Carrissa,Tatteshall,1956-05-17,80-967-1456,3,4,5
113,Barron,Gouge,1959-04-03,39-944-2351,3,1,5
114,Wolf,Sinfield,1959-09-06,69-774-7262,1,2,4
115,Aurelea,Fremantle,1979-03-02,01-116-0553,3,4,2
116,Ellene,Plessing,1981-09-18,53-241-1486,1,7,3
117,Dacia,Cloute,1954-06-07,31-666-8444,2,5,2
118,Lorettalorna,Pellingar,1981-05-12,50-859-9104,2,5,1
119,Stanwood,McCleod,1976-01-26,60-581-0548,3,7,5
120,Cinderella,Zmitrovich,1972-05-27,33-271-9537,1,3,5
121,Moishe,Potzold,1954-12-19,54-673-1571,1,6,1
122,Nertie,Martinot,1962-09-09,96-403-7598,2,8,1
123,Arlena,Pering,1959-09-22,58-813-5764,1,4,2
124,Curry,Aitchison,1959-05-09,89-208-4838,3,1,1
125,Cherie,O'Roan,1977-04-27,57-000-1749,1,8,4
126,Phelia,Sail,1980-08-04,45-961-9011,2,3,3
127,Eugenio,Ecclesall,1969-07-09,92-452-0484,2,7,4
128,Simmonds,Beresford,1962-09-14,05-012-3227,2,6,2
129,Jammal,Cattach,1978-05-14,45-046-5570,1,2,1
130,Maybelle,Wales,1955-01-12,07-719-4006,3,1,2
131,Rana,Lilie,1965-10-19,27-896-5647,2,5,2
132,Dulcine,Marmion,1964-11-06,79-730-7995,1,1,5
133,Rollie,Spaice,1957-02-20,55-522-3097,3,2,4
134,Addi,Kebell,1958-01-11,91-354-2944,3,4,1
135,Anica,Januszkiewicz,1975-03-26,30-404-7711,1,2,3
136,Phaidra,Felce,1974-03-18,38-817-3775,3,3,1
137,Marylinda,Hookes,1975-04-29,26-638-2526,2,5,6
138,Bobbette,Ahrendsen,1963-07-28,35-880-3357,2,3,1
139,Laurel,Exell,1979-10-31,46-741-1810,3,6,5
140,Danila,Rivenzon,1954-06-20,26-703-0594,3,2,6
141,Nicky,Vaines,1957-09-18,64-397-8757,2,5,2
142,Teddy,Stormes,1954-09-05,30-032-9183,1,7,3
143,George,Joburn,1954-12-12,32-417-9628,3,2,2
144,Mace,Usmar,1969-09-16,85-824-1818,3,6,6
145,Derril,Gillfillan,1963-08-27,31-100-5487,1,8,5
146,Greg,Augustin,1977-02-11,22-978-9263,2,3,1
147,Caralie,Elner,1980-02-19,30-150-8622,3,1,6
148,Loella,Hamelyn,1958-12-04,51-859-5103,1,7,4
149,Kylynn,McNern,1963-08-07,41-905-0200,2,5,3
150,Gwenette,Velareal,1973-10-11,13-568-9821,1,8,1
151,Manolo,Shelf,1959-03-15,62-305-4010,1,8,6
152,Betsy,Blacket,1959-01-16,68-105-3731,1,8,3
153,Leonie,Grigolon,1967-12-19,35-806-8491,1,8,3
154,Jaquith,Scotchmor,1980-08-14,81-645-1892,2,4,6
155,Carri,Berfoot,1982-03-22,76-529-1040,3,2,2
156,Carlie,Tallach,1965-09-22,15-691-7728,3,6,6
157,Brent,Blamey,1982-11-25,53-288-4400,2,1,2
158,Regan,McReedy,1956-04-20,18-225-2680,2,5,6
159,Parker,Skade,1966-08-30,01-063-7940,2,8,5
160,Atalanta,Wellbeloved,1974-09-12,11-164-7211,2,4,4
161,Berry,Petzolt,1968-08-15,08-963-6760,2,2,2
162,Cornelius,Stefanovic,1973-06-18,50-117-7074,1,8,1
163,Sargent,Asson,1985-09-20,69-501-4265,1,3,4
164,Kamillah,Cridlin,1981-05-08,99-206-5197,2,2,1
165,Trent,Qusklay,1984-07-03,38-371-6560,3,4,2
166,Ardyth,Legge,1977-07-26,41-050-9926,2,6,2
167,Hatty,Rimer,1965-03-12,26-195-4902,2,8,4
168,Adan,Gelsthorpe,1974-06-22,84-874-7729,1,1,6
169,Lainey,Fend,1953-10-01,91-791-8634,2,2,6
170,Darbie,Kildale,1969-02-03,24-416-8635,1,1,6
171,Elberta,Kincade,1956-12-28,94-051-0022,1,3,1
172,Domeniga,Caff,1966-10-12,65-329-5530,3,7,3
173,Toddie,Showalter,1976-05-02,30-601-6379,3,8,4
174,Janie,Odams,1956-09-28,84-465-7595,2,4,4
175,Esma,Chopin,1966-08-06,31-954-0887,2,2,4
176,Roxana,Caudell,1980-07-07,37-751-6362,1,2,5
177,Aldo,Anthiftle,1976-03-25,95-161-8635,1,7,3
178,Marge,End,1974-08-26,72-677-8734,1,4,4
179,Nappy,Reedman,1970-05-02,67-973-6975,3,2,6
180,Gregoire,Barneveld,1979-07-13,96-756-1153,1,7,3
181,Misha,Hendren,1950-08-25,24-593-5081,2,6,5
182,Stephi,Whalley,1969-09-29,19-679-1987,2,4,3
183,Rodolph,Rubenfeld,1981-10-28,36-057-6702,3,4,6
184,Larisa,Barense,1969-06-11,17-816-1764,3,8,4
185,Allyson,Lampitt,1962-07-03,90-664-7551,2,4,6
186,Kara-lynn,Tickel,1972-03-02,00-195-7802,2,1,6
187,Wallis,Spyvye,1970-05-23,04-486-1611,2,5,4
188,Athene,Arch,1985-12-10,75-410-7403,2,3,3
189,Granger,Slimme,1963-02-25,28-132-5109,2,8,4
190,Elfrieda,Vasyutkin,1959-08-12,11-635-8600,3,5,3
191,Tymon,Yesinov,1981-06-24,27-697-2730,3,8,2
192,Velma,Tomaini,1981-11-14,84-741-5474,2,1,5
193,Austin,Faudrie,1972-07-13,99-460-9232,3,6,1
194,Bobbie,Voak,1951-05-31,21-702-5071,2,1,2
195,Elwyn,Domke,1980-05-29,93-141-5547,1,6,4
196,Katleen,Ibbeson,1952-09-13,46-713-5137,3,8,5
197,Dicky,Skittrall,1978-07-07,62-775-7768,2,5,6
198,Jada,Goodlet,1985-03-11,78-291-6415,2,1,6
199,June,Lias,1958-03-28,99-968-8503,2,3,2
200,Beltran,Casacchia,1970-02-05,50-764-1689,2,8,4
201,Jecho,Iacopo,1967-01-28,33-073-0988,2,3,6
202,Eleen,Mockler,1985-03-01,97-432-4216,2,6,5
203,Auberon,Spendley,1962-02-07,51-092-8952,1,4,3
204,Yule,Garett,1963-06-01,61-390-5681,1,4,4
205,Sabrina,Lissandri,1965-12-27,95-735-8158,1,8,3
206,Chrystel,Roskilly,1977-01-11,53-636-6517,1,6,2
207,Romain,Poltun,1963-04-07,76-116-2186,2,1,2
208,Virgie,Trayte,1975-06-30,62-419-8869,1,7,4
209,Emmit,Ringwood,1977-06-03,92-104-9265,2,6,1
210,Nanette,Oxburgh,1959-12-13,42-677-5810,3,1,6
211,Nicolle,Jopson,1985-11-19,45-935-0288,2,1,2
212,Graeme,Jeandillou,1956-04-25,13-163-1779,1,4,1
213,Astrid,Reuven,1951-02-01,51-347-4745,3,4,1
214,Kippy,Impy,1969-04-11,64-108-5944,3,5,5
215,Ugo,Marriner,1965-09-18,18-630-0294,1,7,4
216,Andras,Calley,1982-12-26,15-908-3208,3,5,4
217,Bondy,Myner,1965-11-15,05-275-7353,2,1,2
218,Bobette,Teenan,1975-06-01,47-980-6048,1,7,5
219,Weidar,Rieme,1985-11-03,86-113-4862,1,2,3
220,Cordi,Storah,1970-10-16,57-786-4821,1,1,3
221,Emelia,Minet,1983-02-27,31-731-9456,3,2,5
222,Teddie,Inston,1957-06-05,42-947-6635,2,6,4
223,Coralie,Dicky,1975-06-07,57-525-0166,1,3,3
224,Dag,"O' Donohue",1981-02-21,59-455-1596,1,5,5
225,Debi,Wearing,1958-08-31,98-607-8502,3,2,1
226,Cornela,Iacovini,1982-09-18,06-522-0246,2,4,3
227,Dennison,McClintock,1971-06-10,51-669-3543,3,1,1
228,Donella,Ramshay,1974-02-28,80-276-8128,2,5,5
229,Grange,Heckle,1964-06-19,40-875-8431,1,6,2
230,Finlay,Jaffa,1950-10-16,11-559-3641,3,2,4
231,Atlanta,Balcon,1975-09-16,39-600-0070,3,7,6
232,Brien,Boak,1978-03-19,05-633-0303,3,7,6
233,Rubetta,Stowte,1982-01-01,08-294-6998,1,2,6
234,Hanson,Botte,1960-03-11,03-133-3092,2,7,6
235,Vidovik,Guerrazzi,1982-02-03,12-847-6838,2,3,4
236,Arlene,Ogilby,1962-05-06,33-104-8917,1,6,4
237,Max,Hudspith,1951-10-27,95-077-0123,1,1,5
238,Jannel,Thurley,1954-02-18,57-281-0640,1,4,2
239,Theodor,Spehr,1978-04-02,82-032-0164,3,6,4
240,Traver,Hugk,1964-03-18,05-501-0583,1,8,5
241,Jennie,Edkins,1967-12-26,25-076-5159,2,7,5
242,Mel,Sallter,1978-07-27,38-453-8991,2,2,2
243,Stern,Widdall,1978-12-31,23-356-4820,2,8,1
244,Fawnia,Duinbleton,1967-07-13,05-362-8561,2,4,4
245,Vally,Crosfield,1968-05-17,84-926-6193,1,4,5
246,Penny,Isacke,1981-10-04,20-488-1724,3,4,2
247,Mariann,Held,1951-12-19,02-134-9611,1,6,1
248,Allister,Freyne,1985-09-18,08-610-4776,3,6,5
249,"La verne",Manthroppe,1984-01-03,46-505-7054,3,4,3
250,Cal,Humphris,1974-05-08,77-810-6965,1,1,3
